date,daily_return,ma_5
2018-07-09,0.0092271945600378,7615.058
2018-07-10,0.000526795690421057,7634.808
2018-07-11,-0.0130108527776767,7638.582
2018-07-12,0.00782011496372477,7648.204
2018-07-13,0.00137753828419372,7657.038
2018-07-16,-0.00801631977572056,7639.53
2018-07-17,0.00340506154240869,7626.388
2018-07-18,0.00654967723662624,7643.252
2018-07-19,0.0010017873240685,7649.78
2018-07-20,-0.000674130690255205,7653.164
2018-07-23,-0.00299526357668331,7664.232
2018-07-24,0.00695682614073795,7680.776
2018-07-25,-0.00658836043351645,7677.172
2018-07-26,0.000641137804148704,7673.012
2018-07-27,0.0049770525774582,7677.516
2018-07-30,-0.0000597300978664716,7686.528
2018-07-31,0.00622139114513331,7694.47
2018-08-01,-0.0123697210908585,7693.4
2018-08-02,-0.0100589187642347,7675.952
2018-08-03,0.0109781901363925,7667.51
2018-08-06,0.000611037850400097,7660.096
2018-08-07,0.00713747002132105,7654.04
2018-08-08,0.00753645795545238,7678.788
2018-08-09,-0.00448522178573026,7711.956
2018-08-10,-0.00965670641209959,7713.538
2018-08-13,-0.00320333480718043,7709.272
2018-08-14,-0.00403142971167616,7687.904
2018-08-15,-0.0149468445696329,7632.148
2018-08-16,0.00780354954140312,7595.07
2018-08-17,0.000292468086570558,7573.386
2018-08-20,0.00432223470250405,7563.148
2018-08-21,-0.00336702997921299,7553.96
2018-08-22,0.00112877856642478,7569.234
2018-08-23,-0.00145493145186838,7570.602
2018-08-24,0.00188676251649423,7574.382
2018-08-28,0.00524316099394397,7579.574
2018-08-29,-0.00709051333688671,7579.076
2018-08-30,-0.00623809202706262,7567.434
2018-08-31,-0.01112422382561,7541.274
2018-09-03,0.00971150715379382,7526.696
2018-09-04,-0.00622818004956969,7494.824
2018-09-05,-0.0100001877214107,7458.838
2018-09-06,-0.00871157534320786,7419.424
2018-09-07,-0.00563741296577659,7388.48
2018-09-10,0.000219849677782866,7343.42
2018-09-11,-0.00079128487629308,7306.556
2018-09-12,0.00547463820918008,7292.572
2018-09-13,-0.00434683920933743,7285.094
2018-09-14,0.00308587296420968,7290.362
2018-09-17,-0.000265606431509083,7294.922
2018-09-18,-0.000256090713630435,7300.26
2018-09-19,0.00423137353206684,7303.812
2018-09-20,0.00493785397047106,7320.962
2018-09-21,0.0166831357942915,7358.2
2018-09-24,-0.00424820065605458,7389.462
2018-09-25,0.00658987639456674,7430.928
2018-09-26,0.000523472339881317,7467.002
2018-09-27,0.00451974242127725,7502.626
2018-09-28,-0.00467037044890686,7506.62
2018-10-01,-0.00193470213842504,7514.072
2018-10-02,-0.00281762670982046,7507.47
2018-10-03,0.00478022088286245,7507.228
2018-10-04,-0.0122418871200541,7481.808
2018-10-05,-0.0134531445040265,7443.476
2018-10-08,-0.0116430326267261,7391.008
2018-10-09,0.000588940363567018,7343.616
2018-10-10,-0.0126906884750311,7270.708
2018-10-11,-0.0194255598440469,7188.426
2018-10-12,-0.00157272871286005,7123.9
2018-10-15,0.00476135341935508,7083.078
2018-10-16,0.00429350624962647,7047.44
2018-10-17,-0.000679944471201415,7029.212
2018-10-18,-0.00391375839877535,7033.224
2018-10-19,0.00324605556575438,7044.002
2018-10-22,-0.000992935969814746,7046.718
2018-10-23,-0.0124368149031635,7025.88
2018-10-24,0.00111714815224839,7007.556
2018-10-25,0.00590551746522334,7002.978
2018-10-26,-0.00921460287545865,6980.93
2018-10-29,0.0125022335710044,6977.634
2018-10-30,0.00135632877523379,6993.762
2018-10-31,0.0131114222162212,7026.786
2018-11-01,-0.00188549543356582,7048.898
2018-11-02,-0.00288699670820531,7079.81
2018-11-05,0.00137014879928733,7095.314
2018-11-06,-0.00889096601274801,7096.28
2018-11-07,0.0108796309447382,7094.116
2018-11-08,0.00328777285704659,7099.32
2018-11-09,-0.00494910848826724,7101.564
2018-11-12,-0.00735503156780678,7091.412
2018-11-13,0.0000964117803853481,7094.028
2018-11-14,-0.0028311141859094,7077.33
2018-11-15,0.000599961045183358,7056.796
2018-11-16,-0.0034285259611737,7038.504
2018-11-19,-0.00185204195110264,7028.066
2018-11-20,-0.00756618087128926,7006.898
2018-11-21,0.0147252702967218,7010.186
2018-11-22,-0.0127527754413686,6994.648
2018-11-23,-0.00107178980276769,6982.444
2018-11-26,0.0119576692181347,6989.466
2018-11-27,-0.00272171688459347,7003.252
2018-11-28,-0.00175719874302571,6994.11
2018-11-29,0.00491539748619454,7009.836
2018-11-30,-0.00834073263768034,7015.312
2018-12-03,0.0117718015426404,7020.594
2018-12-04,-0.00561423083621591,7021.776
2018-12-05,-0.0143704184679528,7005.24
